iso3,year,physicians
GNB,2004,1.39
DZA,2016,18.34
ETH,2019,0.89
BWA,2008,3.67
SDN,2006,3.46
BFA,2009,0.43
KEN,2014,1.99
TCD,1997,0.25
ERI,2009,0.44
TUN,2006,9.33
MWI,2009,0.18
EGY,2014,7.3
CPV,2011,5.71
STP,2015,3.15
MAR,2023,7.93
MLI,2008,0.63
BWA,2007,3.71
LBR,2004,0.33
NGA,2009,3.6
MUS,2005,10.68
TGO,2016,0.44
DZA,2006,11.74
NAM,2007,3.83
GMB,2008,0.96
TGO,2004,0.43
CAF,2004,0.79
BFA,2023,1.08
TGO,2019,0.74
SYC,2006,8.3
COG,2022,1.73
ERI,2014,0.66
NGA,2021,3.86
MRT,2009,1.36
BFA,2016,0.62
GMB,2017,0.99
MLI,2017,1.13
MAR,2010,6.08
TUN,1997,6.86
UGA,2024,2.06
GHA,2010,0.91
ZWE,2011,0.78
DJI,1999,1.28
CAF,2015,0.7
TCD,2022,0.82
ZAF,2009,6.9
MOZ,2019,0.86
ZAF,2004,7.11
KEN,2021,0.98
MRT,2020,2.03
TGO,2007,0.47
RWA,2015,1.1
TUN,1998,7.15
CPV,2010,5.73
MWI,2022,0.54
GMB,2015,0.96
SYC,2019,18.69
MOZ,2011,0.54
KEN,2018,1.6
SSD,2018,0.41
MOZ,2012,0.56
TZA,2022,1.34
BFA,2010,0.44
NAM,2024,5.58
TUN,2019,12.99
MAR,2020,6.99
MOZ,2009,0.47
NAM,2023,6.44
ETH,2009,0.25
MOZ,2013,0.58
ETH,2021,1.0
SLE,2018,0.75
SWZ,2011,0.98
TUN,2000,7.62
GNB,2016,1.0
GHA,2018,1.44
TCD,2018,0.5
LBY,2008,17.9
SDN,2007,3.46
TUN,2007,9.66
SWZ,2023,5.57
MWI,2004,0.21
KEN,2008,1.69
ZAF,2012,7.15
GNB,2020,1.91
LSO,2018,4.57
BWA,2005,2.53
SDN,2015,3.96
ERI,2023,0.89
GHA,2022,1.43
SYC,2021,36.34
BDI,2013,0.53
SYC,2012,9.35
MLI,2004,0.55
COM,2005,1.96
SWZ,2020,1.38
MLI,2015,0.94
MUS,2003,9.44
SEN,2019,0.88
ETH,2003,0.26
TCD,2014,0.43
DZA,2022,16.6
GNB,2024,2.49
ERI,2015,0.68
GIN,2018,2.19
LBY,2009,18.86
MDG,2014,1.73
CMR,2007,0.73
MLI,2005,0.6
MUS,2011,14.07
MDG,2007,1.73
MUS,2007,11.23
GAB,1991,1.87
TCD,2006,0.34
BEN,2004,0.38
MDG,2005,1.72
MWI,2024,0.84
BFA,2019,0.91
GHA,2024,2.89
MDG,2022,1.72
EGY,2020,11.11
EGY,2015,7.63
BFA,2004,0.52
MWI,2020,0.49
SSD,2024,1.49
BDI,2021,0.76
SEN,2024,1.24
MDG,2002,1.3
NER,2009,0.28
NER,2017,0.22
RWA,2014,0.89
CPV,2017,6.59
COM,2004,1.98
COD,2019,1.62
SEN,2004,0.54
TZA,2018,0.5
SYC,2011,11.03
GIN,2015,0.83
BEN,2011,0.54
NER,2023,0.38
BFA,2021,1.01
ZWE,2022,1.72
SYC,2005,11.65
TCD,2000,0.28
MAR,2000,4.38
DZA,2013,17.24
LBR,2010,0.22
BEN,2018,0.73
LBR,2009,0.23
ERI,2016,0.72
ZMB,2010,0.6
ZAF,2018,7.42
COG,2006,2.04
ERI,2018,0.88
BDI,2020,0.69
RWA,2024,1.77
DJI,2005,1.67
LSO,2024,1.84
TGO,2024,0.59
GNB,2021,2.2
MOZ,2022,1.75
GNQ,2017,3.25
TCD,1999,0.28
TUN,1993,5.94
AGO,2004,0.63
ERI,2008,0.45
MAR,2004,5.6
ZWE,2016,1.72
MWI,2016,0.31
CPV,2019,7.43
MAR,2019,6.89
TZA,2024,1.75
KEN,2023,2.89
NER,2020,0.35
ZMB,2004,1.32
MAR,2022,7.61
MLI,2014,0.97
MLI,2012,1.01
RWA,2018,1.32
ZAF,2007,6.79
MAR,2011,6.0
CMR,2004,1.88
RWA,2021,1.21
BWA,1998,2.64
ZWE,2023,1.82
NGA,2019,3.56
GMB,2018,1.24
DZA,2019,19.44
TGO,2021,0.57
BDI,2012,0.49
KEN,2024,2.6
GMB,2003,0.99
GAB,1995,2.86
CPV,2013,6.01
UGA,2012,0.98
CIV,2011,1.4
CPV,2015,8.0
TUN,1992,5.87
TUN,2011,12.57
SLE,2004,0.31
RWA,2013,1.0
GMB,2021,1.04
SYC,2016,18.49
SWZ,2022,5.61
GNB,2008,0.52
GMB,2022,1.04
MDG,2023,1.03
ERI,2013,0.56
BWA,2009,3.48
AGO,2024,2.02
TUN,2009,11.69
MAR,2002,4.78
CIV,2022,1.62
NER,2013,0.51
SWZ,2016,0.93
COG,2007,1.01
NAM,2004,3.08
UGA,2004,0.81
ERI,2005,0.46
BWA,2023,3.79
ZWE,2004,1.69
GIN,2004,1.09
GHA,2020,1.66
ERI,2004,0.55
BEN,2010,0.52
BFA,2014,0.47
DZA,2007,11.95
MUS,2008,11.38
MDG,2024,1.03
RWA,2022,0.9
SEN,2022,1.24
MAR,2013,5.07
EGY,2017,7.43
ZAF,2022,7.94
CAF,2018,0.69
MRT,2017,1.88
GHA,2017,0.89
LBY,1997,12.58
MLI,2020,1.62
LBR,2022,1.78
GNB,2009,0.81
ZMB,2020,2.53
BWA,2016,3.71
ZMB,2006,0.54
ZMB,2023,1.56
MAR,2009,5.54
MWI,2023,0.83
BFA,2022,1.48
TUN,2008,10.94
NER,2004,0.22
BWA,2024,4.28
COG,2016,1.02
LBR,2017,0.51
RWA,2020,1.16
GIN,2024,1.15
SYC,2024,16.33
MUS,2019,25.58
SWZ,2004,1.59
TCD,2024,0.8
MAR,2014,6.12
TGO,2008,0.55
EGY,2018,7.16
NAM,2017,5.67
LBY,2015,18.61
UGA,2023,2.09
ZWE,2009,1.15
BDI,2010,0.45
MUS,2022,29.78
BEN,2016,1.46
MDG,2011,1.37
SDN,2017,2.5
GAB,2020,5.86
MDG,2004,1.49
COM,2012,1.81
KEN,2012,1.84
RWA,2017,1.35
GNQ,2022,1.53
NGA,2016,4.28
SYC,2010,10.53
ZWE,2024,1.86
CIV,2024,2.55
NER,2022,0.28
GHA,2014,1.08
ERI,2007,0.45
RWA,2019,1.17
MRT,2015,1.75
BFA,2013,0.45
AGO,2017,2.12
SLE,2020,0.73
AGO,2009,1.32
ERI,2000,0.45
ZAF,2024,7.66
TCD,2020,0.58
MUS,2015,19.73
ERI,2020,0.88
COG,2011,1.14
MRT,2010,1.61
ZWE,2017,1.79
CAF,2023,0.74
ERI,2022,0.88
MUS,2014,18.8
NAM,2021,4.2
GAB,2022,5.21
TUN,2002,7.99
MLI,2013,1.13
MUS,2016,21.44
CIV,2005,0.85
MWI,2003,0.21
BDI,2004,0.27
ZWE,1990,1.3
CMR,2009,0.7
TCD,2004,0.35
ZMB,2024,1.63
MOZ,2024,0.91
TUN,2005,9.19
SYC,2007,9.95
BEN,2024,2.14
SOM,2024,0.65
MAR,2001,4.5
COM,2022,4.24
NAM,2022,5.53
BWA,2003,2.96
ZAF,2017,7.75
SDN,2004,2.47
SLE,2022,1.34
SWZ,2003,1.5
SYC,2008,7.57
SDN,2008,3.22
COD,2021,1.71
ZMB,2009,0.59
ZMB,2022,3.24
ZAF,2014,7.4
LBR,2019,1.45
BWA,2011,3.95
BFA,2017,0.82
AGO,2022,2.44
BDI,2017,0.94
TCD,2017,0.42
SLE,2011,0.26
BWA,2002,3.07
CMR,2024,0.88
SSD,2022,0.41
SOM,2006,0.27
GIN,2000,0.91
KEN,2002,1.38
GHA,2012,0.93
TUN,2001,7.87
NGA,2005,2.7
MUS,2013,15.85
ZWE,2015,1.74
GHA,2013,1.0
MDG,2013,1.46
LSO,2003,0.45
GMB,2005,1.0
MDG,2009,1.73
ZAF,2023,8.16
MUS,2000,8.88
MAR,2003,5.51
GNB,2018,3.01
NGA,2023,3.8
NER,2019,0.39
ETH,2022,1.05
MLI,2007,0.6
MAR,2007,5.4
STP,2019,4.92
SLE,2010,0.22
MUS,2001,9.03
MDG,2010,1.86
NER,2008,0.19
ZMB,2008,0.61
NGA,2007,3.61
GNB,2011,0.62
MOZ,2004,0.26
BWA,2001,2.98
TUN,2013,12.66
ETH,2020,1.02
CIV,2014,2.14
MLI,2009,1.16
BWA,2006,3.15
DZA,2002,11.14
MOZ,2017,0.77
CIV,2023,1.66
SYC,2018,20.87
COD,2022,2.08
SYC,2004,13.72
GMB,2004,1.02
GMB,2019,0.77
BWA,1999,3.09
DJI,2006,2.16
ERI,2019,0.77
TCD,1998,0.2
GNQ,2004,1.7
TUN,2020,13.15
BWA,2012,3.88
MUS,2017,22.68
MAR,2005,5.66
STP,2004,5.14
MUS,2018,24.91
LBR,2018,1.4
LSO,2010,0.69
GMB,2006,1.02
MAR,2018,6.52
TUN,1996,6.65
CAF,2021,0.87
TUN,2015,12.72
SSD,2020,0.43
BFA,2008,0.31
DZA,2010,15.53
COM,2018,2.85
ZWE,2000,1.26
RWA,2016,1.2
TUN,2010,12.07
CIV,2008,1.28
DJI,2022,2.11
CPV,2023,7.3
BFA,2011,0.37
TGO,2020,0.79
CPV,2009,1.36
MAR,2016,6.37
EGY,2016,7.63
COD,2009,0.88
TGO,2015,0.47
MUS,2002,9.61
BDI,2022,0.78
BDI,2014,0.56
GNB,2022,2.52
MLI,2016,1.17
ZAF,2015,7.63
MOZ,2021,0.82
MUS,2023,30.15
BDI,2011,0.37
TUN,2016,12.14
ZWE,2021,1.77
MUS,2020,26.89
ZWE,1995,1.49
ETH,2024,1.56
GHA,2008,0.77
CMR,2011,0.91
LBR,2016,0.49
ZWE,2013,0.8
COG,2004,2.12
RWA,2023,1.04
GMB,2020,0.78
MUS,2012,13.36
MRT,2014,1.62
GAB,2019,6.03
LBY,2004,12.32
SEN,2016,0.77
BWA,2010,4.03
CIV,2020,1.53
CMR,2021,1.26
BEN,2008,0.59
DZA,2005,10.26
DZA,2003,11.3
MDG,2003,1.41
GAB,1993,2.11
BEN,2019,0.85
LBR,2021,1.69
GAB,2017,6.53
ZAF,2011,7.09
BFA,2020,0.96
ZMB,2016,0.9
BFA,2012,0.46
TCD,2016,0.36
ZMB,2018,2.24
ERI,2002,0.55
ZMB,2005,0.55
MRT,2018,1.96
TCD,2015,0.48
SWZ,2017,1.8
TZA,2012,0.31
COD,2013,0.85
KEN,2009,1.71
ZAF,2016,7.53
ERI,2012,0.5
BWA,2020,4.33
ZWE,2012,0.77
BDI,2024,0.83
CIV,2021,1.67
ZAF,2021,7.81
BWA,2000,2.98
GAB,2016,3.4
MOZ,2010,0.5
ERI,2006,0.5
GAB,2018,6.18
LBY,2017,20.42
COG,2018,0.99
TCD,2021,0.56
ZWE,2018,2.01
GHA,2007,0.7
MAR,2017,6.59
GAB,2004,2.78
TUN,1990,5.31
CPV,2014,4.61
TCD,2013,0.42
TCD,2023,0.85
TUN,2018,12.87
AGO,2018,2.11
EGY,2019,6.97
COG,2024,4.98
MRT,2022,2.61
DZA,2011,16.16
NGA,2018,3.64
ZAF,2020,7.25
NAM,2020,3.8
GHA,2019,1.04
ERI,2017,0.71
TCD,2012,0.4
NGA,2003,2.55
NER,2016,0.33
MOZ,2006,0.26
CMR,2005,0.61
NGA,2024,4.14
TUN,2017,12.78
BDI,2015,0.46
DZA,2014,17.62
DJI,2014,2.01
SSD,2019,0.33
BEN,2021,2.05
ZMB,2019,2.37
COM,2016,2.91
CAF,2024,1.0
GHA,2016,1.23
KEN,2020,0.74
GMB,2023,0.9
MDG,2008,1.78
MAR,2008,5.62
TCD,2019,0.52
TUN,2022,12.46
GIN,2022,2.1
TZA,2014,0.6
CPV,2018,7.11
BFA,2015,0.63
MLI,2023,1.88
TUN,1999,7.4
TUN,2021,13.15
KEN,2010,1.71
TUN,2014,12.53
GIN,2005,1.02
GMB,2007,0.9
GHA,2009,0.82
MWI,2008,0.18
CPV,2021,7.32
TUN,1995,6.51
ERI,2021,0.85
MDG,2006,1.63
ZWE,2005,1.21
LBR,2015,0.36
LBY,2014,20.37
UGA,2020,1.58
LBR,2020,1.51
DZA,2018,19.23
BFA,2024,1.07
SEN,2017,0.69
MUS,2004,10.43
BWA,2004,3.96
COG,1998,7.3
SEN,2023,1.09
GIN,2016,0.81
SEN,2008,0.62
TGO,2018,0.74
MLI,2011,1.11
SYC,2009,11.0
ETH,2005,0.31
TUN,2004,9.65
CMR,2022,1.36
KEN,2022,2.36
CMR,2010,0.87
NER,2018,0.37
MLI,2024,3.17
MRT,2021,2.19
MOZ,2018,0.85
NGA,2022,3.86
ETH,2008,0.24
GHA,2004,1.48
CPV,2012,5.08
NER,2015,0.32
UGA,2017,1.72
ERI,2011,0.45
BWA,2018,4.02
ZWE,2020,1.7
GHA,2021,1.28
TUN,2023,12.38
ZAF,2010,7.05
EGY,2021,11.8
TUN,2003,8.13
CIV,2018,2.04
TGO,2022,0.8
ZAF,2019,7.79
NGA,2008,3.59
ETH,2018,0.75
SWZ,2001,1.7
UGA,2022,1.91
BFA,2018,0.82
DZA,2017,18.91
ETH,2007,0.22
GAB,1994,2.53
DZA,2012,16.88
CMR,2018,1.31
GHA,2015,1.14
LBR,2008,0.13
BEN,2023,2.16
DZA,2004,11.56
CIV,2004,1.06
BWA,2019,3.95
CPV,2016,7.96
SEN,2020,0.82
CPV,2022,7.18
COG,2010,1.11
BWA,2022,4.07
ZAF,2008,6.79
COM,2009,1.99
ERI,2003,0.42
GHA,2023,2.66
CAF,2009,0.45
MUS,2009,11.53
TZA,2002,0.23
MDG,2012,1.36
ZWE,2019,1.66
TUN,1994,5.93
TUN,1991,5.29
STP,2022,4.64
LSO,2022,2.35
ETH,2004,0.26
SLE,2019,0.33
CPV,2020,7.25
MOZ,2020,0.84
MRT,2004,1.09
MLI,2010,0.96
GHA,2011,0.95
SEN,2021,0.99
MAR,2012,4.78
ZMB,2021,2.95
ETH,2023,1.43
GNB,2023,1.43
SOM,2014,0.48
NGA,2013,3.63
DZA,2020,19.01
EGY,2003,4.94
MAR,2021,7.55
CMR,2020,0.98
KEN,2013,1.93
COM,2020,4.41
MLI,2006,0.57
ZAF,2013,7.29
NER,2012,0.53
MUS,2010,11.69
KEN,2011,1.77
MRT,2019,2.01
UGA,2015,0.97
MAR,2006,5.94
ERI,2001,0.41
ETH,2006,0.26
MLI,2018,1.2
ERI,2010,0.44
SWZ,2009,1.57
GNB,2015,1.98
AGO,1997,0.6
BWA,2021,4.22
UGA,2005,1.2
TGO,2017,0.72
MUS,2021,29.5
ZWE,2010,1.21
ZWE,2014,1.19
BEN,2022,2.05
DZA,2015,18.35
MUS,2006,11.08
SWZ,2018,2.38
NGA,2006,3.33
NER,2014,0.27
MLI,2022,1.91
CIV,2019,1.49
DJI,2004,1.56
